DATE,sprtrn
20180327,-0.017276
20180328,-0.002917
20180329,0.013770
20180402,-0.022337
20180403,0.012615
20180404,0.011566
20180405,0.006863
20180406,-0.021920
20180409,0.003337
20180410,0.016727
20180411,-0.005525
20180412,0.008251
20180413,-0.002887
20180416,0.008109
20180417,0.010662
20180418,0.000831
20180419,-0.005726
20180420,-0.008537
20180423,0.000056
20180424,-0.013381
20180425,0.001837
20180426,0.010434
20180427,0.001114
20180430,-0.008188
20180501,0.002549
20180502,-0.007206
20180503,-0.002254
20180504,0.012811
20180507,0.003458
20180508,-0.000266
20180509,0.009682
20180510,0.009371
20180511,0.001708
20180514,0.000884
20180515,-0.006842
20180516,0.004061
20180517,-0.000856
20180518,-0.002632
20180521,0.007387
20180522,-0.003136
20180523,0.003248
20180524,-0.002023
20180525,-0.002357
20180529,-0.011564
20180530,0.012696
20180531,-0.006880
20180601,0.010849
20180604,0.004480
20180605,0.000703
20180606,0.008567
20180607,-0.000714
20180608,0.003126
20180611,0.001069
20180612,0.001743
20180613,-0.004026
20180614,0.002472
20180615,-0.001017
20180618,-0.002126
20180619,-0.004023
20180620,0.001712
20180621,-0.006345
20180622,0.001862
20180625,-0.013725
20180626,0.002205
20180627,-0.008604
20180628,0.006179
20180629,0.000758
20180702,0.003068
20180703,-0.004947
20180705,0.008621
20180706,0.008481
20180709,0.008823
20180710,0.003473
20180711,-0.007094
20180712,0.008749
20180713,0.001079
20180716,-0.001028
20180717,0.003974
20180718,0.002160
20180719,-0.003953
20180720,-0.000948
20180723,0.001838
20180724,0.004781
20180725,0.009102
20180726,-0.003032
20180727,-0.006562
20180730,-0.005754
20180731,0.004885
20180801,-0.001040
20180802,0.004926
20180803,0.004644
20180806,0.003538
20180807,0.002824
20180808,-0.000262
20180809,-0.001442
20180810,-0.007114
20180813,-0.004006
20180814,0.006389
20180815,-0.007602
20180816,0.007919
20180817,0.003323
20180820,0.002428
20180821,0.002069
20180822,-0.000398
20180823,-0.001691
20180824,0.006199
20180827,0.007670
20180828,0.000269
20180829,0.005701
20180830,-0.004430
20180831,0.000134
20180904,-0.001654
20180905,-0.002803
20180906,-0.003652
20180907,-0.002213
20180910,0.001898
20180911,0.003740
20180912,0.000357
20180913,0.005282
20180914,0.000275
20180917,-0.005570
20180918,0.005369
20180919,0.001253
20180920,0.007841
20180921,-0.000369
20180924,-0.003516
20180925,-0.001305
20180926,-0.003289
20180927,0.002763
20180928,-0.000007
20181001,0.003641
20181002,-0.000397
20181003,0.000711
20181004,-0.008170
20181005,-0.005528
20181008,-0.000395
20181009,-0.001418
20181010,-0.032864
20181011,-0.020573
20181012,0.014206
20181015,-0.005905
20181016,0.021496
20181017,-0.000253
20181018,-0.014392
20181019,-0.000361
20181022,-0.004299
20181023,-0.005512
20181024,-0.030864
20181025,0.018625
20181026,-0.017327
20181029,-0.006560
20181030,0.015667
20181031,0.010851
20181101,0.010558
20181102,-0.006317
20181105,0.005600
20181106,0.006259
20181107,0.021209
20181108,-0.002509
20181109,-0.009199
20181112,-0.019701
20181113,-0.001482
20181114,-0.007567
20181115,0.010594
20181116,0.002223
20181119,-0.016643
20181120,-0.018151
20181121,0.003043
20181123,-0.006555
20181126,0.015532
20181127,0.003262
20181128,0.022974
20181129,-0.002198
20181130,0.008186
20181203,0.010941
20181204,-0.032365
20181206,-0.001522
20181207,-0.023320
20181210,0.001762
20181211,-0.000356
20181212,0.005419
20181213,-0.000200
20181214,-0.019087
20181217,-0.020773
20181218,0.000086
20181219,-0.015396
20181220,-0.015772
20181221,-0.020588
20181224,-0.027112
20181226,0.049594
20181227,0.008563
20181228,-0.001242
20181231,0.008492
20190102,0.001269
20190103,-0.024757
20190104,0.034336
20190107,0.007010
20190108,0.009695
20190109,0.004098
20190110,0.004518
20190111,-0.000146
20190114,-0.005258
20190115,0.010722
20190116,0.002222
20190117,0.007591
20190118,0.013183
20190122,-0.014157
20190123,0.002203
20190124,0.001376
20190125,0.008489
20190128,-0.007847
20190129,-0.001456
20190130,0.015549
20190131,0.008597
20190201,0.000899
20190204,0.006776
20190205,0.004708
20190206,-0.002224
20190207,-0.009357
20190208,0.000676
20190211,0.000709
20190212,0.012890
20190213,0.003024
20190214,-0.002652
20190215,0.010879
20190219,0.001499
20190220,0.001777
20190221,-0.003526
20190222,0.006411
20190225,0.001232
20190226,-0.000790
20190227,-0.000544
20190228,-0.002826
20190301,0.006895
20190304,-0.003881
20190305,-0.001131
20190306,-0.006524
20190307,-0.008126
20190308,-0.002132
20190311,0.014666
20190312,0.002953
20190313,0.006950
20190314,-0.000868
20190315,0.004985
20190318,0.003706
20190319,-0.000131
20190320,-0.002944
20190321,0.010853
20190322,-0.018975
20190325,-0.000839
20190326,0.007183
20190327,-0.004644
20190328,0.003590
20190329,0.006734
20190401,0.011569
20190402,0.000017
20190403,0.002148
20190404,0.002085
20190405,0.004636
20190408,0.001047
20190409,-0.006067
20190410,0.003478
20190411,0.000038
20190412,0.006609
20190415,-0.000629
20190416,0.000509
20190417,-0.002274
20190418,0.001579
20190422,0.001012
20190423,0.008841
20190424,-0.002192
20190425,-0.000369
20190426,0.004685
20190429,0.001071
20190430,0.000951
20190501,-0.007502
20190502,-0.002124
20190503,0.009638
20190506,-0.004471
20190507,-0.016512
20190508,-0.001605
20190509,-0.003021
20190510,0.003720
20190513,-0.024131
20190514,0.008016
20190515,0.005839
20190516,0.008895
20190517,-0.005837
20190520,-0.006749
20190521,0.008496
20190522,-0.002824
20190523,-0.011914
20190524,0.001354
20190528,-0.008376
20190529,-0.006912
20190530,0.002098
20190531,-0.013195
20190603,-0.002765
20190604,0.021432
20190605,0.008162
20190606,0.006136
20190607,0.010498
20190610,0.004660
20190611,-0.000350
20190612,-0.002038
20190613,0.004097
20190614,-0.001612
20190617,0.000932
20190618,0.009717
20190619,0.002985
20190620,0.009472
20190621,-0.001259
20190624,-0.001732
20190625,-0.009496
20190626,-0.001234
20190627,0.003823
20190628,0.005757
20190701,0.007672
20190702,0.002928
20190703,0.007672
20190705,-0.001806
20190708,-0.004835
20190709,0.001237
20190710,0.004511
20190711,0.002285
20190712,0.004620
20190715,0.000176
20190716,-0.003404
20190717,-0.006531
20190718,0.003582
20190719,-0.006177
20190722,0.002829
20190723,0.006848
20190724,0.004688
20190725,-0.005262
20190726,0.007388
20190729,-0.001616
20190730,-0.002579
20190731,-0.010886
20190801,-0.008999
20190802,-0.007283
20190805,-0.029778
20190806,0.013017
20190807,0.000767
20190808,0.018762
20190809,-0.006617
20190812,-0.012184
20190813,0.014994
20190814,-0.029293
20190815,0.002464
20190816,0.014426
20190819,0.012106
20190820,-0.007915
20190821,0.008247
20190822,-0.000506
20190823,-0.025946
20190826,0.010983
20190827,-0.003203
20190828,0.006545
20190829,0.012687
20190830,0.000643
20190903,-0.006899
20190904,0.010842
20190905,0.013010
20190906,0.000911
20190909,-0.000094
20190910,0.000322
20190911,0.007230
20190912,0.002879
20190913,-0.000724
20190916,-0.003136
20190917,0.002582
20190918,0.000343
20190919,0.000020
20190920,-0.004896
20190923,-0.000097
20190924,-0.008416
20190925,0.006159
20190926,-0.002429
20190927,-0.005316
20190930,0.005048
20191001,-0.012258
20191002,-0.017903
20191003,0.007972
20191004,0.014217
20191007,-0.004478
20191008,-0.015561
20191009,0.009105
20191010,0.006416
20191011,0.010939
20191014,-0.001387
20191015,0.009956
20191016,-0.002000
20191017,0.002763
20191018,-0.003919
20191021,0.006872
20191022,-0.003569
20191023,0.002847
20191024,0.001920
20191025,0.004073
20191028,0.005581
20191029,-0.000832
20191030,0.003253
20191031,-0.003023
20191101,0.009662
20191104,0.003704
20191105,-0.001186
20191106,0.000703
20191107,0.002730
20191108,0.002561
20191111,-0.001962
20191112,0.001565
20191113,0.000712
20191114,0.000837
20191115,0.007695
20191118,0.000503
20191119,-0.000593
20191120,-0.003756
20191121,-0.001583
20191122,0.002175
20191125,0.007507
20191126,0.002196
20191127,0.004174
20191129,-0.004011
20191202,-0.008631
20191203,-0.006638
20191204,0.006324
20191205,0.001500
20191206,0.009136
20191209,-0.003163
20191210,-0.001097
20191211,0.002908
20191212,0.008575
20191213,0.000073
20191216,0.007148
20191217,0.000335
20191218,-0.000432
20191219,0.004459
20191220,0.004945
20191223,0.000866
20191224,-0.000195
20191226,0.005128
20191227,0.000034
20191230,-0.005781
20191231,0.002946
